Class,Xid,Atlas_ObjID,Gaia_ObjID,neg3sig,neg2sig,neg1sig,rest,pos1sig,pos2sig,pos3sig,g_band,g_error,b_band,b_error,r_band,r_error,b_minus_r_error,c_period,o_period
W_Ursae_Maj,37,130020309697204348,92749376376188672,332.1521348028451,341.54204971785435,348.57855062051055,355.95612872595103,363.65325055046463,371.6316763387148,383.4199656960544,11.977507000000001,68.50084,12.2981205,22.522724,11.484505,23.475239000000002,0.06680517094102088,0.16896237388147697,0.1689616584633932
Beta_Lyrae,182,93191049332902768,3045851688044485888,1583.52355840539,1676.9421993301453,1780.8585360370237,1900.8846148549399,2038.2110517829267,2193.6348006457665,2376.7233691560373,11.863348,376.0139,12.0729475,127.21463999999999,11.489423,123.4679,0.01225436343681587,1.7242233729623657,0.8621237776001035
Beta_Persei,180,79381045208408513,2922337224706710912,1841.9121974782502,1951.8566223895962,2074.3188553491336,2215.9554758777103,2378.24670903253,2562.218752609542,2779.29457670193,12.31807,3005.1895,12.456177,720.06085,12.069932000000001,1133.2909,0.0017864539160040997,1.45465838381763,1.775088670275989
RR_Lyrae_FM,2,87600010215003146,2414817603803476864,1789.1832540309147,1945.5860243269292,2124.345420013377,2341.84674088029,2606.133198768545,2926.3727390021472,3343.2401107748337,11.986022,103.969475,12.181252,27.648134000000002,11.569097,43.9453,0.04639535326151439,0.6060880922213676,0.6060536470640611
RR_Lyrae_FO,210,102351121476807085,3058711056346428544,1468.3852364677798,1563.69220161366,1670.7513878865059,1795.95625639679,1941.2772194200254,2108.4534729132333,2309.3943669254377,12.10379,102.06348,12.269977,27.845858000000003,11.774561,46.647858,0.04540954079313018,0.3066452292142978,0.306638875457623
Delta_Scuti,791,98053310167400256,2619212103826802944,594.5050366392792,613.6716251986188,632.6530913019624,653.168177646925,675.0580398096038,698.0885880141991,724.6546144501282,11.736727,335.87552,11.984665,104.04926999999999,11.360358,118.17138,0.013903290420063972,0.3386285813403003,0.25280026659871235
Classical_Cepheid,154,121380918561102861,3330259852538068608,2296.414362021965,2581.7586331388943,2943.4992614408648,3429.71434077807,4096.238954631506,5029.555058394647,6439.588091621802,11.23823,62.800858,11.79285,12.987128,10.450939,23.430704000000002,0.0955842321268225,3.88945602156192,3.88991577123051
